nm, %T
979.000000, 82.103300
978.000000, 82.093200
977.000000, 82.094000
976.000000, 82.090800
975.000000, 82.079200
974.000000, 82.078900
973.000000, 82.094900
972.000000, 82.098200
971.000000, 82.073700
970.000000, 82.079900
969.000000, 82.087100
968.000000, 82.076200
967.000000, 82.088500
966.000000, 82.091800
965.000000, 82.071900
964.000000, 82.088000
963.000000, 82.088700
962.000000, 82.079400
961.000000, 82.095100
960.000000, 82.092400
959.000000, 82.082300
958.000000, 82.095000
957.000000, 82.102800
956.000000, 82.081900
955.000000, 82.076200
954.000000, 82.106400
953.000000, 82.113300
952.000000, 82.101200
951.000000, 82.101400
950.000000, 82.084200
949.000000, 82.093000
948.000000, 82.105700
947.000000, 82.095600
946.000000, 82.088500
945.000000, 82.100300
944.000000, 82.107700
943.000000, 82.113500
942.000000, 82.103700
941.000000, 82.096700
940.000000, 82.104400
939.000000, 82.101500
938.000000, 82.122200
937.000000, 82.131300
936.000000, 82.122700
935.000000, 82.111400
934.000000, 82.096000
933.000000, 82.116100
932.000000, 82.127100
931.000000, 82.131100
930.000000, 82.127100
929.000000, 82.121600
928.000000, 82.150100
927.000000, 82.162200
926.000000, 82.157700
925.000000, 82.142200
924.000000, 82.133500
923.000000, 82.155000
922.000000, 82.160500
921.000000, 82.151200
920.000000, 82.171200
919.000000, 82.183500
918.000000, 82.157800
917.000000, 82.162200
916.000000, 82.177700
915.000000, 82.191000
914.000000, 82.201500
913.000000, 82.201800
912.000000, 82.198500
911.000000, 82.202200
910.000000, 82.216500
909.000000, 82.224100
908.000000, 82.231900
907.000000, 82.226200
906.000000, 82.215300
905.000000, 82.220500
904.000000, 82.282000
903.000000, 82.221500
902.000000, 82.086900
901.000000, 82.076300
900.000000, 82.114100
899.000000, 82.148700
898.000000, 82.119200
897.000000, 82.169100
896.000000, 82.253000
895.000000, 82.270300
894.000000, 82.266300
893.000000, 82.285500
892.000000, 82.306300
891.000000, 82.301000
890.000000, 82.291900
889.000000, 82.307100
888.000000, 82.330000
887.000000, 82.327200
886.000000, 82.326600
885.000000, 82.330800
884.000000, 82.333800
883.000000, 82.324400
882.000000, 82.338300
881.000000, 82.359200
880.000000, 82.354200
879.000000, 82.349100
878.000000, 82.359400
877.000000, 82.363700
876.000000, 82.349600
875.000000, 82.343300
874.000000, 82.345400
873.000000, 82.333100
872.000000, 82.353100
871.000000, 82.371700
870.000000, 82.362200
869.000000, 82.343500
868.000000, 82.341300
867.000000, 82.350300
866.000000, 82.367500
865.000000, 82.354300
864.000000, 82.361400
863.000000, 82.390900
862.000000, 82.371300
861.000000, 82.364100
860.000000, 91.024100
859.000000, 95.717900
858.000000, 95.772500
857.000000, 95.754400
856.000000, 95.741500
855.000000, 95.758200
854.000000, 95.816600
853.000000, 95.795500
852.000000, 95.771300
851.000000, 95.829000
850.000000, 95.826300
849.000000, 95.866300
848.000000, 95.878400
847.000000, 95.918300
846.000000, 95.975900
845.000000, 95.991000
844.000000, 96.058100
843.000000, 96.093000
842.000000, 96.108400
841.000000, 96.165000
840.000000, 96.192700
839.000000, 96.254900
838.000000, 96.272100
837.000000, 96.314700
836.000000, 96.390600
835.000000, 96.428700
834.000000, 96.429700
833.000000, 96.453800
832.000000, 96.492700
831.000000, 96.539400
830.000000, 96.578100
829.000000, 96.616300
828.000000, 96.588500
827.000000, 96.613100
826.000000, 96.653000
825.000000, 96.680400
824.000000, 96.676900
823.000000, 96.679500
822.000000, 96.677400
821.000000, 96.709100
820.000000, 96.688500
819.000000, 96.719200
818.000000, 96.724200
817.000000, 96.716900
816.000000, 96.704200
815.000000, 96.686100
814.000000, 96.701400
813.000000, 96.704000
812.000000, 96.691000
811.000000, 96.697900
810.000000, 96.657300
809.000000, 96.590200
808.000000, 96.650300
807.000000, 96.613500
806.000000, 96.579200
805.000000, 96.560100
804.000000, 96.566000
803.000000, 96.535900
802.000000, 96.510700
801.000000, 96.519900
800.000000, 96.508100
799.000000, 96.486100
798.000000, 96.460700
797.000000, 96.458400
796.000000, 96.457000
795.000000, 96.402300
794.000000, 96.363500
793.000000, 96.373800
792.000000, 96.355100
791.000000, 96.347900
790.000000, 96.321000
789.000000, 96.265700
788.000000, 96.272100
787.000000, 96.254100
786.000000, 96.246700
785.000000, 96.215900
784.000000, 96.176000
783.000000, 96.142100
782.000000, 96.134200
781.000000, 96.130600
780.000000, 96.101500
779.000000, 96.096600
778.000000, 96.057100
777.000000, 96.018800
776.000000, 95.994100
775.000000, 95.997900
774.000000, 95.980000
773.000000, 95.950900
772.000000, 95.928800
771.000000, 95.905400
770.000000, 95.875200
769.000000, 95.878100
768.000000, 95.849800
767.000000, 95.821100
766.000000, 95.808600
765.000000, 95.764200
764.000000, 95.745700
763.000000, 95.732000
762.000000, 95.716000
761.000000, 95.694200
760.000000, 95.669900
759.000000, 95.645700
758.000000, 95.612700
757.000000, 95.595300
756.000000, 95.577800
755.000000, 95.559800
754.000000, 95.536800
753.000000, 95.483600
752.000000, 95.463100
751.000000, 95.466800
750.000000, 95.443200
749.000000, 95.440100
748.000000, 95.426900
747.000000, 95.370000
746.000000, 95.343200
745.000000, 95.351600
744.000000, 95.331800
743.000000, 95.305800
742.000000, 95.285800
741.000000, 95.252600
740.000000, 95.251300
739.000000, 95.227100
738.000000, 95.215800
737.000000, 95.173200
736.000000, 95.189800
735.000000, 95.140900
734.000000, 95.114200
733.000000, 95.127100
