nm, %T
611.000000, 80.261284
610.000000, 80.259984
609.000000, 80.256781
608.000000, 80.224296
607.000000, 80.181678
606.000000, 80.174241
605.000000, 80.181627
604.000000, 80.185871
603.000000, 80.183134
602.000000, 80.160444
601.000000, 80.145437
600.000000, 80.156573
599.000000, 80.157925
598.000000, 80.143631
597.000000, 80.135055
596.000000, 80.117269
595.000000, 80.115881
594.000000, 80.137373
593.000000, 80.155919
592.000000, 80.168954
591.000000, 80.184193
590.000000, 80.174961
589.000000, 80.196816
588.000000, 80.232266
587.000000, 80.284728
586.000000, 80.333353
585.000000, 80.377234
584.000000, 80.411924
583.000000, 80.446899
582.000000, 80.503948
581.000000, 80.576444
580.000000, 80.618995
579.000000, 80.697204
578.000000, 80.747635
577.000000, 80.767446
576.000000, 80.858584
575.000000, 80.908766
574.000000, 80.958594
573.000000, 81.051245
572.000000, 81.094666
571.000000, 81.123391
570.000000, 81.185909
569.000000, 81.254095
568.000000, 81.322830
567.000000, 81.399818
566.000000, 81.441877
565.000000, 81.480095
564.000000, 81.531928
563.000000, 81.587005
562.000000, 81.629393
561.000000, 81.679427
560.000000, 81.685382
559.000000, 81.726913
558.000000, 81.813252
557.000000, 81.832657
556.000000, 81.821734
555.000000, 81.856853
554.000000, 81.878050
553.000000, 81.916039
552.000000, 81.947396
551.000000, 81.946596
550.000000, 81.935406
549.000000, 81.929540
548.000000, 81.943554
547.000000, 81.967775
546.000000, 82.006124
545.000000, 81.995074
544.000000, 81.956436
543.000000, 81.933953
542.000000, 81.935733
541.000000, 81.953542
540.000000, 81.935651
539.000000, 81.902118
538.000000, 81.858673
537.000000, 81.822641
536.000000, 81.813213
535.000000, 81.802547
534.000000, 81.788106
533.000000, 81.761370
532.000000, 81.699632
531.000000, 81.643711
530.000000, 81.608491
529.000000, 81.599597
528.000000, 81.586988
527.000000, 81.541728
526.000000, 81.490582
525.000000, 81.448660
524.000000, 81.423401
523.000000, 81.424748
522.000000, 81.410144
521.000000, 81.364428
